x_last_hour,x_start_hour,predicted,mc_mean,mc_std,target,error_pct_baseline,error_pct_mcmean,p01,p05,p10,p50,p90,p95,p99,comp_bulk_rate,comp_pos_rate,comp_neg_rate,r_mean,r_abs_mean,batch_id,batch_cov90,batch_cov98
36.299995,182.72223,87.51335,113.130875,42.351624,46.549995,87.99862,143.0309,47.248993,70.32144,77.0605,98.145935,173.28203,201.14717,260.73175,0.59569997,0.3685,0.0358,25.617517,31.439087,0,0.7307692170143127,0.8557692170143127
46.549995,162.78333,85.64111,110.93075,42.837345,42.033325,103.74574,163.91142,46.538937,68.4492,74.926926,95.59721,171.98395,202.36163,258.5874,0.6103,0.35459998,0.035099998,25.289633,31.275078,0,0.7307692170143127,0.8557692170143127
42.033325,116.51666,76.662445,102.19663,42.531498,35.75862,114.3887,185.79578,37.07841,59.470535,66.49992,87.2296,162.92093,193.07603,247.92001,0.6071,0.3559,0.037,25.534184,31.23605,0,0.7307692170143127,0.8557692170143127
35.75862,89.066666,58.80319,84.36046,42.838028,35.85,64.025635,135.3151,15.384893,40.764263,48.350338,69.370346,145.09766,173.10088,230.98845,0.6008,0.36049998,0.0387,25.54348,31.576862,0,0.7307692170143127,0.8557692170143127
35.85,65.75,43.09797,68.19234,41.47769,37.033333,16.376156,84.137726,2.74738,24.648964,32.361633,53.55477,127.19113,154.19234,206.6489,0.59819996,0.3618,0.04,25.003527,31.178513,0,0.7307692170143127,0.8557692170143127
37.033333,55.86666,36.427437,61.86204,42.91474,43.81035,16.85198,41.204174,0.0,18.253899,25.71325,46.55387,121.5439,151.95107,215.00432,0.6035,0.3574,0.0391,25.254837,31.395815,0,0.7307692170143127,0.8557692170143127
43.81035,52.916664,34.980057,61.26801,42.704372,58.38333,40.08554,4.940927,0.0,16.531052,24.527206,45.837868,120.87247,151.49162,209.33812,0.5915,0.3696,0.0389,26.113039,32.101288,0,0.7307692170143127,0.8557692170143127
58.38333,54.649994,35.909973,61.368034,41.873135,64.61666,44.42614,5.0275373,0.0,17.871048,25.286057,46.542557,121.429726,149.31883,205.0158,0.5987,0.363,0.0383,25.293612,31.332403,0,0.7307692170143127,0.8557692170143127
64.61666,58.68333,33.705414,59.13062,42.70853,48.799995,30.931524,21.169312,0.0,15.529022,22.991089,43.88929,119.27556,148.45377,211.44513,0.60139996,0.3581,0.0405,25.208513,31.4826,0,0.7307692170143127,0.8557692170143127
48.799995,55.049995,25.626106,51.132492,41.812775,37.566666,31.784985,36.11134,0.0,7.4497147,14.911781,35.79937,110.07324,139.419,194.43655,0.6012,0.3585,0.0403,25.086975,31.262949,0,0.7307692170143127,0.8557692170143127
