hour,hour_invocation,day_of_week,hour_of_day
126.5,86.93333333333334,5,6
126.75,96.53333333333333,5,6
127.0,92.86666666666666,5,7
127.25,109.46666666666667,5,7
127.5,92.73333333333333,5,7
127.75,106.26666666666667,5,7
128.0,165.2,5,8
128.25,154.73333333333332,5,8
128.5,130.13333333333333,5,8
128.75,102.26666666666667,5,8
129.0,142.0,5,9
129.25,167.4,5,9
129.5,220.26666666666668,5,9
129.75,195.4,5,9
130.0,231.46666666666667,5,10
130.25,308.0,5,10
130.5,314.6,5,10
130.75,330.8666666666667,5,10
131.0,329.8666666666667,5,11
131.25,359.53333333333336,5,11
131.5,334.0,5,11
131.75,326.26666666666665,5,11
132.0,306.3333333333333,5,12
132.25,381.53333333333336,5,12
132.5,142.26666666666668,5,12
132.75,510.1333333333333,5,12
133.0,278.0,5,13
133.25,270.26666666666665,5,13
133.5,263.6,5,13
133.75,275.6666666666667,5,13
134.0,266.93333333333334,5,14
134.25,293.4,5,14
134.5,288.6666666666667,5,14
134.75,283.46666666666664,5,14
135.0,316.2,5,15
135.25,342.73333333333335,5,15
135.5,318.93333333333334,5,15
135.75,285.53333333333336,5,15
136.0,324.46666666666664,5,16
136.25,265.0,5,16
136.5,343.46666666666664,5,16
136.75,298.8666666666667,5,16
137.0,282.8666666666667,5,17
137.25,247.73333333333332,5,17
137.5,366.3333333333333,5,17
137.75,330.1333333333333,5,17
138.0,308.1333333333333,5,18
138.25,207.0,5,18
138.5,399.26666666666665,5,18
138.75,379.1333333333333,5,18
139.0,332.6666666666667,5,19
139.25,274.6,5,19
139.5,275.8,5,19
139.75,283.8666666666667,5,19
140.0,309.53333333333336,5,20
140.25,280.73333333333335,5,20
140.5,246.93333333333334,5,20
140.75,243.06666666666666,5,20
141.0,290.53333333333336,5,21
141.25,231.6,5,21
141.5,237.0,5,21
141.75,291.8,5,21
142.0,270.1333333333333,5,22
142.25,282.1333333333333,5,22
142.5,237.93333333333334,5,22
142.75,213.2,5,22
143.0,273.26666666666665,5,23
143.25,268.93333333333334,5,23
143.5,240.26666666666668,5,23
143.75,201.06666666666666,5,23
144.0,226.46666666666667,6,0
144.25,181.86666666666667,6,0
144.5,209.86666666666667,6,0
144.75,177.13333333333333,6,0
145.0,167.06666666666666,6,1
145.25,205.8,6,1
145.5,167.73333333333332,6,1
145.75,132.6,6,1
146.0,162.6,6,2
146.25,100.66666666666667,6,2
146.5,98.73333333333333,6,2
146.75,93.0,6,2
147.0,129.2,6,3
147.25,129.2,6,3
147.5,135.06666666666666,6,3
147.75,135.4,6,3
148.0,138.93333333333334,6,4
148.25,161.86666666666667,6,4
148.5,140.53333333333333,6,4
148.75,99.46666666666667,6,4
149.0,125.66666666666667,6,5
149.25,81.6,6,5
149.5,78.26666666666667,6,5
149.75,73.53333333333333,6,5
150.0,100.73333333333333,6,6
150.25,119.6,6,6
150.5,123.13333333333334,6,6
150.75,108.86666666666666,6,6
151.0,88.46666666666667,6,7
151.25,152.4,6,7
151.5,120.73333333333333,6,7
151.75,109.8,6,7
152.0,150.93333333333334,6,8
152.25,146.26666666666668,6,8
152.5,133.66666666666666,6,8
152.75,133.66666666666666,6,8
153.0,163.4,6,9
153.25,213.73333333333332,6,9
153.5,227.33333333333334,6,9
153.75,217.0,6,9
154.0,295.46666666666664,6,10
154.25,303.26666666666665,6,10
154.5,310.4,6,10
154.75,348.2,6,10
155.0,377.8,6,11
155.25,380.46666666666664,6,11
155.5,344.06666666666666,6,11
155.75,354.06666666666666,6,11
156.0,331.6,6,12
156.25,178.73333333333332,6,12
156.5,523.6666666666666,6,12
156.75,372.73333333333335,6,12
157.0,284.1333333333333,6,13
157.25,307.3333333333333,6,13
157.5,351.0,6,13
157.75,295.46666666666664,6,13
158.0,294.93333333333334,6,14
158.25,295.0,6,14
158.5,211.6,6,14
158.75,311.6666666666667,6,14
159.0,307.93333333333334,6,15
159.25,332.1333333333333,6,15
159.5,341.53333333333336,6,15
159.75,316.4,6,15
160.0,376.2,6,16
160.25,342.3333333333333,6,16
160.5,382.26666666666665,6,16
160.75,346.06666666666666,6,16
161.0,393.46666666666664,6,17
161.25,384.1333333333333,6,17
161.5,382.8,6,17
161.75,340.6,6,17
162.0,153.93333333333334,6,18
162.25,487.1333333333333,6,18
162.5,387.8666666666667,6,18
162.75,332.8,6,18
163.0,324.6,6,19
163.25,340.3333333333333,6,19
163.5,370.8666666666667,6,19
163.75,326.4,6,19
164.0,321.2,6,20
164.25,295.4,6,20
164.5,309.06666666666666,6,20
164.75,250.0,6,20
165.0,250.4,6,21
165.25,227.93333333333334,6,21
165.5,304.6666666666667,6,21
165.75,240.86666666666667,6,21
166.0,275.06666666666666,6,22
166.25,217.0,6,22
166.5,221.93333333333334,6,22
166.75,210.0,6,22
167.0,250.73333333333332,6,23
167.25,271.8,6,23
167.5,203.73333333333332,6,23
167.75,241.06666666666666,6,23
168.0,206.8,0,0
168.25,246.6,0,0
168.5,199.73333333333332,0,0
168.75,162.06666666666666,0,0
169.0,208.4,0,1
169.25,190.66666666666666,0,1
169.5,181.73333333333332,0,1
169.75,151.8,0,1
170.0,164.86666666666667,0,2
170.25,179.66666666666666,0,2
170.5,127.8,0,2
170.75,142.33333333333334,0,2
171.0,112.8,0,3
171.25,91.66666666666667,0,3
171.5,87.13333333333334,0,3
171.75,86.0,0,3
172.0,98.2,0,4
172.25,81.53333333333333,0,4
172.5,92.0,0,4
172.75,90.33333333333333,0,4
173.0,90.93333333333334,0,5
173.25,67.0,0,5
173.5,87.06666666666666,0,5
173.75,56.93333333333333,0,5
174.0,64.6,0,6
174.25,61.46666666666667,0,6
174.5,84.4,0,6
174.75,70.73333333333333,0,6
175.0,122.13333333333334,0,7
175.25,90.26666666666667,0,7
175.5,104.66666666666667,0,7
175.75,87.2,0,7
176.0,87.46666666666667,0,8
176.25,110.06666666666666,0,8
176.5,118.53333333333333,0,8
176.75,113.86666666666666,0,8
177.0,123.46666666666667,0,9
177.25,190.73333333333332,0,9
177.5,194.4,0,9
177.75,188.13333333333333,0,9
178.0,233.93333333333334,0,10
178.25,300.46666666666664,0,10
178.5,316.3333333333333,0,10
178.75,264.4,0,10
179.0,290.0,0,11
179.25,323.8666666666667,0,11
179.5,289.73333333333335,0,11
179.75,293.26666666666665,0,11
180.0,305.4,0,12
180.25,392.26666666666665,0,12
180.5,386.53333333333336,0,12
180.75,378.26666666666665,0,12
181.0,280.8,0,13
181.25,281.8666666666667,0,13
181.5,218.46666666666667,0,13
181.75,252.2,0,13
182.0,245.8,0,14
182.25,243.06666666666666,0,14
182.5,248.0,0,14
182.75,223.26666666666668,0,14
183.0,306.0,0,15
183.25,200.13333333333333,0,15
183.5,356.8666666666667,0,15
183.75,265.73333333333335,0,15
184.0,305.0,0,16
184.25,281.93333333333334,0,16
184.5,302.26666666666665,0,16
184.75,287.73333333333335,0,16
185.0,284.6,0,17
185.25,230.8,0,17
185.5,260.1333333333333,0,17
