x_hour,x_start,y_hour,predicted,target,error_rates
3864.0,92.45,3888.0,90.6719,40.783325,122.32591
3865.0,60.11666666666667,3889.0,58.338577,32.549988,79.227646
3866.0,59.55,3890.0,57.77191,22.899994,152.27916
3867.0,33.4,3891.0,31.621902,29.71666,6.411363
3868.0,30.15,3892.0,28.371902,33.916656,16.348175
3869.0,27.533333333333335,3893.0,25.755249,34.25,24.802193
3870.0,31.533333333333335,3894.0,29.755234,28.649994,3.8577313
3871.0,46.06666666666667,3895.0,44.288574,45.86667,3.440613
3872.0,66.6,3896.0,64.8219,60.69998,6.790641
3873.0,75.01666666666667,3897.0,73.23858,76.266655,3.97038
3874.0,161.9,3898.0,160.1219,146.31667,9.435178
3875.0,173.66666666666666,3899.0,171.88857,163.18332,5.334642
3876.0,155.8,3900.0,154.0219,203.78333,24.418793
3877.0,160.65,3901.0,158.8719,162.46666,2.2126122
3878.0,131.68333333333334,3902.0,129.90523,131.15,0.9491165
3879.0,115.21666666666667,3903.0,113.43857,153.34999,26.026361
3880.0,101.85,3904.0,100.0719,145.65,31.292892
3881.0,87.41666666666667,3905.0,85.638565,118.399994,27.670128
3882.0,102.66666666666667,3906.0,100.888565,106.38332,5.1650567
3883.0,86.45,3907.0,84.6719,107.13333,20.965868
3884.0,71.43333333333334,3908.0,69.65524,101.816666,31.587584
3885.0,62.333333333333336,3909.0,60.555237,88.61666,31.666082
3886.0,53.233333333333334,3910.0,51.455246,75.899994,32.20652
3887.0,57.35,3911.0,55.5719,86.21666,35.5439
3888.0,40.78333333333333,3912.0,39.005234,42.099976,7.350935
3889.0,32.55,3913.0,30.771896,34.19998,10.023646
3890.0,22.9,3914.0,21.121902,26.549988,20.444775
3891.0,29.716666666666665,3915.0,27.938583,26.866669,3.9897566
3892.0,33.916666666666664,3916.0,32.13858,27.96666,14.9174795
3893.0,34.25,3917.0,32.47191,21.533325,50.798393
3894.0,28.65,3918.0,26.871902,25.116653,6.9883876
3895.0,45.86666666666667,3919.0,44.088577,56.399994,21.828756
3896.0,60.7,3920.0,58.921906,65.33333,9.813402
3897.0,76.26666666666667,3921.0,74.48857,82.799995,10.037952
3898.0,146.31666666666666,3922.0,144.53857,175.13333,17.46941
3899.0,163.18333333333334,3923.0,161.40523,303.44998,46.80994
3900.0,203.78333333333333,3924.0,202.00523,274.61667,26.441013
3901.0,162.46666666666667,3925.0,160.68857,266.11667,39.61725
3902.0,131.15,3926.0,129.3719,234.11667,44.740414
3903.0,153.35,3927.0,151.5719,181.29999,16.39718
3904.0,145.65,3928.0,143.8719,192.2,25.14469
3905.0,118.4,3929.0,116.6219,154.73332,24.630388
3906.0,106.38333333333334,3930.0,104.60523,119.69999,12.610492
3907.0,107.13333333333334,3931.0,105.35523,93.93333,12.159588
3908.0,101.81666666666666,3932.0,100.03857,116.93333,14.448198
3909.0,88.61666666666666,3933.0,86.83857,130.48334,33.44854
3910.0,75.9,3934.0,74.12191,92.299995,19.694569
3911.0,86.21666666666667,3935.0,84.43857,113.64999,25.702965
3912.0,42.1,3936.0,40.321915,78.049995,48.338352
3913.0,34.2,3937.0,32.421906,71.78332,54.83365
3914.0,26.55,3938.0,24.771912,34.549988,28.301245
3915.0,26.866666666666667,3939.0,25.088577,39.733322,36.85759
3916.0,27.966666666666665,3940.0,26.188568,25.566666,2.432474
3917.0,21.533333333333335,3941.0,19.755249,18.46666,6.977924
3918.0,25.116666666666667,3942.0,23.338562,34.93332,33.191113
3919.0,56.4,3943.0,54.621902,66.816666,18.251081
3920.0,65.33333333333333,3944.0,63.555237,251.86667,74.76631
3921.0,82.8,3945.0,81.0219,271.3333,70.13935
3922.0,175.13333333333333,3946.0,173.35522,312.61667,44.54703
3923.0,303.45,3947.0,301.6719,323.3333,6.6994047
3924.0,274.6166666666667,3948.0,272.83856,315.06665,13.402906
3925.0,266.1166666666667,3949.0,264.33856,239.81667,10.225267
3926.0,234.11666666666667,3950.0,232.33856,261.05,10.99844
3927.0,181.3,3951.0,179.5219,256.65,30.05186
3928.0,192.2,3952.0,190.4219,285.23334,33.239956
3929.0,154.73333333333332,3953.0,152.95523,314.85,51.41965
3930.0,119.7,3954.0,117.9219,298.86667,60.54364
3931.0,93.93333333333334,3955.0,92.155235,258.93332,64.40966
3932.0,116.93333333333334,3956.0,115.155235,244.83333,52.965866
3933.0,130.48333333333332,3957.0,128.70523,104.416664,23.261196
3934.0,92.3,3958.0,90.521904,72.666664,24.571432
3935.0,113.65,3959.0,111.8719,116.28333,3.7936912
