HashFunction,TotalSum
5b135f71e39c2494dbbb325cc4c1f1d2f7e678f6f34ab708f77d5742bd4856f6,2423773
883c25a5e9115af2df7016dfd7208e0ce3f273c0de0d518e4a13e19f63069ccf,2415135
313167de55c8a2dec61331cbe12bc7a74b65ad3dcbb667e37f5faf3236e76d24,2414793
e369a477e4d9df999f57c0f43735a22479c0fd1773290e9b512961c70de8b6a9,2400131
306c96c8ea7d437236f72728dcee304f516d274bf058a27edcb38a9e6fa0f385,2388197
0ac2bba85d41212c738939478d6c143a6dcc6b104dc3cb5d7c910a12cc1d1f66,2363649
a566c7ffdea4b2f2c9bec692e5067024cd784c6485057c089074fea50c35dad4,2316534
1be9ec5d983809dab634df4f7a32cadbd5c48bab1c2c9026474286924b6eac7c,2313254
d84dca7603e312f678250d8a536a1778ce98836c58fc41ee5237dd8358dae66a,2304239
05aed21c749138a712c901a4e7113230306b3b3e2ec055b73f6ba40e78b870ec,2287154
fad1ca5a071c61a773f665a5f345a2a1172949e4835194b414ab0cf8d4fe9ffa,2281157
5c9f0b373635c8c245443597d5a7ae3645181e7fbe703997fea62abc686c13ba,2261565
14c9c5e9966a677d7787923e4a3c8e208ca58d29aeea4cd85d587fd3aecba620,2255189
c81c9a950c4d6ac0cd85d7dfd437ecadb04d937e4dd00f4888bb468f872c7e32,2251991
e82e17d1e59eec21f9c3112667a454c9a4fe2586134d11d693ed955f0ae0a365,2208964
0b659d324c401313e25e29ab2d218d2968a1da941b27e0738faa099d9c9ea2a4,2190737
d21f486f9a6eb452742e90b167689d3c9bfdabcba2dc0943df4097161201a023,2189427
79f111cf55e8b364aae6624545cfa4c1e9bfa612f1d31d2ce6e898ff2667565c,2143146
a622955216602cff21b853e8f794e088c1279804b7f147628e01aef85781ec25,2132551
f11f1ce193782ce644a55fc6294faacfbd7fb9ccb894e72c27604daad18b8d5a,2127169
fc057d59a3476406c8572dbab8247d7e981c1976e8403d3715979bb1c02fb846,2080729
9d14cbca19b9613a422080a8acca7c7b8b828feb233c3049610b22325ff99664,2063990
fc15cc22098577295f29f8b259ebbe5e5420ad2a22a0961d02f945dbdba46e11,2053793
435d03a134039707461c56bb05f6157c4768effaf6aff73a888a0d9dfe2faa57,2050856
2d62508ff7d0bf74df4f629fa487b14c932185b57628c70aef7003f521083d71,2047925
ba8ad9b8a132d97658a86fc28faa955b6c2c24fd637f04efe297b793e3d69cff,2038127
cacad129e2374354c3595c3d09d1b65c17b005b3997cc2b11b5880ebfb637b46,2037818
d6b7a849bf6694c29bb5da07f3d7ed0e6ec54d0dce6d9e18985ff9dd89047700,2035789
b2119667710772b63be69566b33fce08b7a9aa3795ed4424bb39b9a33e24c517,2034497
f7dcd090b26721a8c09663ec40fb7ea0db1045c006da6cba2a87ca3a383e8924,2031154
9c46c282bdde11cc4288d7c36cb20a8ec6484a139dc0b8f704da02a52299db08,2010799
ba387944cde3f9545cba14c3dcb02ae6e05c0d8d4edbeb4e50ded53803e14f3a,2003535
ad421b01eca7544b02fd4960d00506382cea6d51795bba012c68714ca43b8c76,2002685
58542dd993796da347ae587357953a169c5527988dccc7b5adf95733a148a437,1992739
c3772de8f56c5c29379ac1d671457f252a3cd0c99918bcb79bf1a94918aad6e6,1965748
783c133a1b1e8efd09c7844282cc475d4129101ec20c0018bf13d5fdafd04f8a,1963834
677ce390d37c60e580ad98b41321cf72fae4c16cfd071b77b035fc3be452beb6,1959228
6b66e0445267c0f2ac598e4541a9cdd945c630017a785aac2722cb130b916995,1927085
bdcab94ee4b4282d8dfc5deae696fb1778ad8bd0eb5b37340f16cced529f8e7c,1921490
68bf46448107de0e92c7c072d4a9b51d95045af180abede968270f1fda06b732,1920498
096d04270888c86c3698b47942b1ccd5fcede77987562931d4177f7e95160639,1919333
4c683de92c0d4485658ed54c68ab3d66f207a28f2d85144eae519797d68e886d,1916266
a64286a4880fb2a1b6a4e859ffadbe91d0a1dcd5db2c636d8a89f746fb94abf4,1896462
bb3dd6b748ede9c4693b7ceb4879b6113f6bf99fc72983e321363fbaf92e8a2e,1894845
01b4b41ad136cf905cf6813f924e81191ce70d202b62bd8235a7ce40b4a76932,1886443
c0e10070fbb1e61d25299fa9c950334bc56f9e2869b417f04c31e45660e9cfa5,1884281
a70de8ff059991d78fa7efde4ee729c4b4c2276f14dd3f6e9f898103cc9b3bec,1866578
2eee351adf2d6799c0cbdda01d8155cd1c2031c9f72736a0ca60a68f0432169b,1858439
b226f37743e2a4cc6527ed30c845d8f7072fd17fd21e8305e60127a0495eda9d,1856502
ab9874b5a31a5d694a21d416e68af1d19c028f23af0197bc78a77cd11dd62094,1836877
bde06c0fbc47763c3c3612154de4a65e13988a6c8d7e0269baf89148a0fea9fa,1835425
c4a448684099b4e14266f3f52f199d35c460cabf80d9524a991a8834f7f2b29e,1833016
cdd76f0405c5cc8d0ad011a8ae6d847c6d611c3596c642cdcc4843488f75f9e0,1828997
