hour,true_hourly_energy,avg_invocation_rate
1240,769799.8204740001,260.1166666666667
1241,776863.0277840002,231.56666666666666
1242,746900.1616640001,211.79661016949152
1243,733979.9622500001,199.74137931034483
1244,773142.5134320001,228.06666666666666
1245,759096.6417800001,220.20338983050848
1246,739674.8118140001,192.71666666666667
1247,699468.9399260001,160.61666666666667
1248,546379.664722,94.01666666666667
1249,468846.214654,69.75
1250,342410.360882,36.38333333333333
1251,277994.289048,20.8
1252,243410.139804,13.0
1253,245105.63556,13.4
1254,231685.90876800002,10.4
1255,331905.68922600005,33.88333333333333
1256,519619.48233800003,85.48333333333333
1257,723336.8227080001,174.6
1258,755782.9555720001,198.86666666666667
1259,731664.001762,209.67241379310346
1260,753183.8459300001,202.88333333333333
1261,725601.5865520001,173.76666666666668
1262,739210.2165760001,185.26666666666668
1263,781392.8233700001,236.71666666666667
1264,775103.3599580001,232.61666666666667
1265,769825.709508,215.9
1266,734393.904436,205.31034482758622
1267,760582.9584340001,204.88333333333333
1268,780199.5860340002,233.95
1269,771096.692108,225.73333333333332
1270,746914.490434,195.25
1271,685431.4234280001,154.46666666666667
1272,571366.433134,105.18333333333334
1273,460357.42004600004,67.61666666666666
1274,350568.944022,37.916666666666664
1275,293967.052226,24.483333333333334
1276,259324.24196800002,16.533333333333335
1277,234395.247194,11.016666666666667
1278,240717.48320400002,12.366666666666667
1279,346343.614978,37.983333333333334
1280,556582.4106040001,98.3
1281,732237.600682,188.11864406779662
1282,780499.9734380001,262.5833333333333
1283,725848.7276340001,275.23214285714283
1284,750369.3817320002,262.51724137931035
1285,776041.3642100001,240.51666666666668
1286,772568.9964340001,224.51666666666668
1287,782277.092242,261.5833333333333
1288,752624.581266,252.32758620689654
1289,770971.8385920001,221.5
1290,729762.1137800001,212.56140350877192
1291,765871.1365600001,273.1864406779661
1292,763180.8106280001,280.9491525423729
1293,778892.7876880001,269.93333333333334
1294,779098.2623840001,228.96666666666667
1295,730008.4757520001,180.33333333333334
1296,612823.31657,118.95
1297,465033.92083,68.68333333333334
1298,358796.68374600005,40.25
1299,289913.05105,23.516666666666666
1300,242220.16335800002,12.716666666666667
1301,233504.727488,10.8
1302,239557.923886,12.15
1303,353397.90367200004,39.333333333333336
1304,572665.266806,105.18333333333334
1305,771048.0708620001,221.15
1306,750913.41231,274.6034482758621
1307,760848.5931960001,271.1525423728813
1308,753277.6244420001,267.5
1309,777934.1851760001,240.1
1310,774820.543258,220.05
1311,747285.8740040001,268.2758620689655
1312,725884.9418040001,270.64285714285717
1313,768159.781838,256.22033898305085
1314,763192.1652600002,239.52542372881356
1315,778934.3048900001,260.15
1316,771892.0980180001,287.1166666666667
1317,727313.0105920001,268.32142857142856
1318,778910.0683420001,258.35
1319,749408.0744580001,195.25
1320,628956.785562,126.81666666666666
1321,288324.511836,23.133333333333333
1322,257497.468976,16.1
1323,258849.420604,16.466666666666665
1324,233652.09032800002,10.833333333333334
1325,229963.461198,10.083333333333334
1326,232779.617822,10.65
1327,312540.823654,29.016666666666666
1328,579883.56145,106.68333333333334
1329,770807.681908,221.73333333333332
1330,774531.1638320001,279.1
1331,761810.641962,282.93220338983053
1332,760225.5257460001,276.49152542372883
1333,782236.5491460001,262.71666666666664
1334,752293.1923060002,260.3965517241379
1335,759492.1920840001,300.1333333333333
1336,670412.6137320001,314.962962962963
1337,755594.3605160001,288.8135593220339
1338,752731.3917120001,256.51724137931035
1339,763687.12811,228.28813559322035
1340,770054.8581160001,259.22033898305085
1341,689662.3380780001,305.07272727272726
1342,778034.6395500001,236.98333333333332
1343,731479.733708,185.3
1344,620994.455466,123.95
1345,516549.771354,85.08333333333333
1346,374569.269142,43.983333333333334
1347,341703.898768,36.1
1348,308930.302698,28.516666666666666
1349,277446.108636,21.1
1350,289520.122708,23.7
1351,352252.05333,38.88333333333333
1352,517373.148724,85.16666666666667
1353,702851.513612,160.4
1354,771602.1871680001,220.36666666666667
1355,751585.4024740001,273.12068965517244
1356,775929.0101320001,263.43333333333334
1357,780821.525508,255.66666666666666
1358,780547.6159620001,261.98333333333335
1359,769993.9226860001,257.64406779661016
1360,780680.3736820001,264.25
1361,778969.6946500001,266.71666666666664
1362,780617.5499800001,252.36666666666667
1363,781351.8435540001,240.98333333333332
1364,734824.07116,276.7368421052632
1365,760664.081878,260.79661016949154
1366,773949.085606,226.28333333333333
1367,723155.4710840001,175.66666666666666
1368,619996.0051340001,122.18333333333334
1369,483819.74905000004,74.48333333333333
1370,360384.769212,40.56666666666667
1371,304513.430512,26.866666666666667
1372,268427.90144600003,18.583333333333332
1373,277909.925446,21.183333333333334
1374,273233.286318,20.05
1375,325262.60011,31.883333333333333
1376,449728.29544,66.7
1377,656777.4630440001,137.83333333333334
1378,757472.4586520001,199.26666666666668
1379,776174.4399400001,231.23333333333332
1380,776217.0354480001,247.2
1381,780603.3547680001,237.16666666666666
1382,779538.60504,249.2
1383,775792.9125440001,257.73333333333335
1384,779142.6351840001,252.93333333333334
1385,783840.8952660001,237.58333333333334
1386,767766.851294,222.48333333333332
1387,768956.3141180001,219.78333333333333
1388,776272.877438,249.18333333333334
1389,774211.3370420001,236.08333333333334
1390,754646.64476,208.33333333333334
1391,693020.680152,155.53333333333333
1392,569909.2470420001,103.35
1393,435916.2195,60.666666666666664
1394,330490.176724,33.13333333333333
1395,292880.63205,24.25
1396,254112.32766600003,15.383333333333333
1397,237429.309266,11.716666666666667
1398,236033.86647200002,11.366666666666667
1399,309287.521216,28.3
1400,592368.8891720001,113.4
1401,779047.564388,242.53333333333333
1402,762170.8057300001,296.5833333333333
1403,658455.2113140001,300.90384615384613
1404,770164.1554260001,273.81666666666666
1405,773150.4764720001,231.6
1406,781026.3130340001,258.75
1407,632929.804266,316.6078431372549
1408,696131.8809480001,315.07142857142856
1409,688622.07914,292.2962962962963
1410,693886.179188,260.8888888888889
1411,780370.4652780001,250.48333333333332
1412,782102.540168,244.8
1413,751956.5251600001,241.6206896551724
1414,752518.8514360001,204.8
1415,688938.897098,154.25
1416,592254.267436,113.03333333333333
1417,433768.75394200004,60.11666666666667
1418,343453.648142,36.35
1419,280726.61325,21.55
1420,247459.58698000002,13.9
1421,240368.227218,12.316666666666666
1422,245885.02930000002,13.566666666666666
1423,333145.14951400005,34.15
1424,608576.778026,119.28333333333333
1425,770462.0011340001,247.11666666666667
1426,740413.6915760001,292.7241379310345
1427,711642.0998200001,295.32142857142856
1428,735124.2851920001,270.63157894736844
1429,772038.2896820001,239.31666666666666
1430,780275.0068140001,237.61666666666667
1431,705789.4285880001,306.2142857142857
1432,675065.0963280001,312.4074074074074
1433,702875.9202520001,293.4909090909091
1434,726444.3812840001,259.0357142857143
1435,778124.9798160001,241.0
1436,761921.9816500001,277.6779661016949
1437,757868.5607500001,250.08474576271186
1438,757475.035552,207.5
1439,723691.4694720001,173.6
