hour,median,mean,std,p05,p50,p95,true_hourly_energy,mean_minus_truth
1143.0,505174.5083420432,516853.2710895166,60444.77739809757,448678.23578575323,505174.5083420432,638746.8819096952,570929.8079901127,-54076.53690059611
1144.0,501331.63221932587,528881.9654885038,59687.670441302216,445615.94954037364,501331.63221932587,614062.6654292019,529108.5309461595,-226.565457655699
1145.0,511013.25145409786,539914.2375169233,55796.71883864696,483432.90423223766,511013.25145409786,634526.261108393,490055.0100445037,49859.22747241962
1146.0,581580.5788043257,580846.5724422556,58781.99756530528,494676.10374023585,581580.5788043257,649267.9828923255,514698.3868630788,66148.18557917676
1147.0,586823.1682358158,602460.31602562,50978.625609925184,543734.238061629,586823.1682358158,686983.7870242668,543131.1322862036,59329.18373941642
1148.0,617096.1542574666,611075.2697466578,43299.19017180351,556789.3296741119,617096.1542574666,681547.0376296456,583465.3051642884,27609.96458236943
1149.0,577052.404157744,580128.1020100032,39494.82579341913,532959.9519571675,577052.404157744,648744.4459809235,565821.0769048658,14307.025105137378
1150.0,553587.3697350209,579987.3522907965,60469.75067644264,507457.9165884527,553587.3697350209,667162.7183061184,556334.1879702022,23653.164320594282
1151.0,493827.52821518487,511433.1389813319,54877.47783950975,451599.39004911244,493827.52821518487,619920.1827832928,491142.7321734251,20290.40680790681
1152.0,390460.71101038135,400990.94467497244,53877.33616779767,333662.57463157707,390460.71101038135,498445.7228193843,420550.98186304304,-19560.037188070593
1153.0,376247.21532238653,368418.3512098604,70919.81656670714,281194.7224068684,376247.21532238653,486222.1420005724,222055.74106594414,146362.61014391627
1154.0,302250.16489782056,284641.144685303,67306.1412935883,202166.5485948135,302250.16489782056,376749.94191696565,203833.6270623624,80807.51762294059
1155.0,247913.61329083817,260460.6742548425,61556.11311649797,189704.82197895425,247913.61329083817,364865.7081490622,195460.35234807973,65000.32190676278
1156.0,246774.63553869067,263443.3034088643,68482.67895689428,183014.77935728253,246774.63553869067,373147.6122549313,194731.68966995768,68711.61373890663
1157.0,231774.52486398566,270400.0691196362,95166.81002316179,183008.00244766794,231774.52486398566,418014.336217059,195772.89606773143,74627.17305190477
1158.0,303674.7968349051,285150.7396562763,78716.93460024714,183000.61376013755,303674.7968349051,426648.53685335105,200770.36545468844,84380.37420158787
1159.0,266924.46496283985,303354.37000552844,88730.17531261289,204071.26131867676,266924.46496283985,469471.7540798678,250018.37551434844,53335.99449118
1160.0,456522.31793984893,428171.53942859545,68116.8550495607,327922.8984034097,456522.31793984893,513980.5925743082,360138.88034073036,68032.65908786509
1161.0,476690.79637188924,479013.7695550045,58419.280415552676,407599.39316390536,476690.79637188924,586603.4268485495,509927.66598254885,-30913.896427544358
1162.0,514643.5318798054,517285.20459292445,61669.369075927585,428980.7024954933,514643.5318798054,603205.8947050435,547014.9101261476,-29729.70553322311
1163.0,451450.71375290176,469396.3392111841,56319.32847333139,394074.7615678881,451450.71375290176,572383.6841433214,546837.1373210559,-77440.79810987174
1164.0,485161.51806779375,500770.32007970475,66817.36957167354,412264.6436105166,485161.51806779375,607262.4981630228,534472.8769306028,-33702.55685089808
1165.0,520691.2426660141,519308.78276194894,41411.5128986782,468516.9506858781,520691.2426660141,583983.1778823596,504152.8112650491,15155.971496899845
1166.0,473727.59323907207,497154.9945424636,53564.462434985275,434979.29308898584,473727.59323907207,576257.8844316306,505160.7187105365,-8005.724168072862
1167.0,490754.6632852741,487136.04818824184,34615.34953049938,439773.39717050595,490754.6632852741,541060.4080340982,522060.2812224399,-34924.233034198056
1168.0,487388.4683361369,503360.45729427447,44444.36357196418,449997.64800537063,487388.4683361369,583181.4028088064,562918.13707734,-59557.67978306557
1169.0,530240.0940955677,537021.3137350896,46935.02048920255,461146.86711035896,530240.0940955677,604885.5914923196,538500.1520355887,-1478.8383004991338
1170.0,524853.5827604708,535315.4800159135,35581.59306218734,486326.86424135824,524853.5827604708,592790.9777817549,520016.2809861592,15299.199029754265
1171.0,570116.7222567726,565071.3156230171,43470.1950217743,488205.23603251606,570116.7222567726,627046.6800554092,524759.1693408447,40312.14628217241
1172.0,629470.0829761232,613474.5719953539,37245.7892828198,560196.4157292504,629470.0829761232,656604.8417440553,574624.8629776732,38849.709017680725
1173.0,612400.2520835325,607564.4141020458,36586.73369107856,561600.2843071261,612400.2520835325,663409.3105578944,567395.0779180131,40169.33618403273
1174.0,571084.1575268988,571386.8443437091,35635.04147275616,522845.2648053585,571084.1575268988,632724.3278288197,563649.2267855101,7737.617558198981
1175.0,531132.685640924,538771.9166873157,25788.581024271523,510849.4908049146,531132.685640924,587497.7784963535,497421.05454545456,41350.862141861115
1176.0,472160.10423413076,483767.8967518211,40478.59157715527,428391.146116289,472160.10423413076,558509.0983875291,441042.04483034974,42725.85192147136
1177.0,388328.3142569186,398072.8075845383,46861.168698293295,345017.0856726846,388328.3142569186,475632.0660865175,394115.35672599304,3957.450858545257
1178.0,310344.11725704937,324789.1763392231,40886.94291202841,280083.29549211235,310344.11725704937,409122.36001783825,291736.5783174026,33052.59802182054
1179.0,326356.75153775304,295178.8391252533,63728.22490867756,210143.3235056822,326356.75153775304,381037.9831574333,236169.2775631631,59009.56156209021
1180.0,215637.98809588232,221108.20219716555,33284.03155158878,182790.58832997084,215637.98809588232,284792.7621732027,221362.65200341732,-254.44980625176686
1181.0,228400.6030936277,243735.8070888333,38683.21635040888,204722.75910059415,228400.6030936277,308037.1626465343,209734.58304401758,34001.224044815724
1182.0,252771.66040327097,266219.12713499094,47107.651523321045,208615.16997845008,252771.66040327097,348784.73125369125,218907.1687709114,47311.95836407953
1183.0,301270.5443308251,315714.7142867839,47561.7324241745,261712.8219768295,301270.5443308251,378694.1359650114,254616.98424894194,61097.730037841946
1184.0,421440.7010528017,414138.55808403867,30809.147316122915,364059.8239527019,421440.7010528017,461132.3891456968,338507.71244495123,75630.84563908743
1185.0,464025.66024742747,475457.73274854926,39589.9872487588,412032.70604990254,464025.66024742747,537544.8991537354,447544.71640553063,27913.016343018622
1186.0,553486.4588383755,556519.2685961063,29192.1371481913,522038.867122355,553486.4588383755,599156.3031824972,508338.1763025466,48181.09229355975
1187.0,572123.6823652101,584342.9963188058,31770.169051797657,548191.7665691127,572123.6823652101,641996.4398370651,532638.7373254526,51704.25899335323
1188.0,578726.2960996302,586798.2500015912,33224.896409734734,543336.8813214301,578726.2960996302,638559.6044939852,550062.1989580415,36736.05104354967
1189.0,585897.587889905,588511.6460336124,27657.03733211801,552847.7455676711,585897.587889905,631792.7067389303,528648.5049152107,59863.14111840178
1190.0,566231.4598007634,568214.2298191291,21429.85465200057,536517.8371874507,566231.4598007634,594549.6367418853,532949.3004082188,35264.92941091035
1191.0,574178.0648562437,569911.7062811792,19764.739839815993,543566.6678460301,574178.0648562437,594817.7501863225,546396.6716620078,23515.034619171405
1192.0,578752.0251181768,578320.4599996046,24919.11298280386,545839.4861797154,578752.0251181768,619328.5928545082,561505.2300144772,16815.22998512746
1193.0,573134.7770169581,568268.8203923801,16145.030240034645,541524.525825257,573134.7770169581,588092.9646837843,545510.1857805128,22758.63461186737
1194.0,574855.6162004806,569266.8055903092,19957.257941580083,537391.3260509787,574855.6162004806,596334.9927214556,537455.7071510481,31811.098439261084
1195.0,566651.733457728,565999.9959053163,15475.765721832799,537300.9841516248,566651.733457728,584068.3326148607,521908.32625432534,44091.66965099098
1196.0,575004.6126438262,570800.9264532273,16622.437920826294,541308.6923129568,575004.6126438262,592040.316422776,514785.1667347866,56015.759718440706
1197.0,577966.7210714788,577793.4843326007,17839.73209878198,550759.7216051521,577966.7210714788,601365.665569451,548459.6197986432,29333.86453395756
1198.0,584274.8094932378,581968.7950859703,13850.330924944332,556625.3911333719,584274.8094932378,598736.383291002,531586.0033830679,50382.79170290241
1199.0,531985.3251722894,531805.0070953564,16285.492939053041,511446.3768258794,531985.3251722894,554311.7427043397,498340.29446634883,33464.712629007525
