mc_mean,mc_median,std,p05,p50,p95,true_hourly_carbon,mc_mean_minus_truth
126676090.69980434,124683614.25956307,23929035.27478443,92210450.64682564,124683614.25956307,168866174.3887536,94188617.38461056,32487473.315193772
101801036.5761207,93883517.12313262,19430325.015923914,81650792.98056248,93883517.12313262,147464181.3016182,93875681.10113767,7925355.4749830365
100461206.15354274,92266697.2833281,24171969.892721485,77512912.976511,92266697.2833281,151955143.26537403,84853987.5353873,15607218.618155435
96462662.39661479,96627155.91497298,18560916.66922498,73866068.14147086,96627155.91497298,129144567.8593921,84940157.43988898,11522504.956725806
99957718.75843148,89484697.22240582,23241047.900502387,71422398.96269442,89484697.22240582,136862123.23557568,85392287.0692036,14565431.689227879
116436751.25041546,111336989.88080256,20851513.72715802,87092528.03121482,111336989.88080256,148713186.68081328,100301822.63318525,16134928.617230207
145557546.6975109,144449338.43864703,15254726.951378709,121416045.90964422,144449338.43864703,176935765.58606958,128842845.06767064,16714701.629840255
187491735.38285086,186095969.4619287,20793313.88519946,157010656.4480948,186095969.4619287,223173353.57041004,166065485.91533053,21426249.467520326
205894640.48732036,205352105.88223135,14190761.285823474,182076421.95689172,205352105.88223135,229250739.4116474,179375436.19698566,26519204.2903347
201454948.4334997,198315154.50336263,17942755.771992166,175738720.77557105,198315154.50336263,233570752.01008457,187884386.1158903,13570562.3176094
204812329.34811145,200696476.5054273,17792860.967110563,180283592.16274008,200696476.5054273,235286479.28966054,187290443.56198028,17521885.786131173
207487619.26342547,206129888.91096586,13360176.98145809,188932125.30014175,206129888.91096586,234763755.69223422,192060455.32782927,15427163.935596198
212716327.30441996,212004609.08573887,12235105.652782435,191689499.62450135,212004609.08573887,233302994.85835347,214770625.43582308,-2054298.1314031184
220050072.18692327,214359312.5717892,20742140.855180588,194724877.03694016,214359312.5717892,260608929.80477756,236993428.2397301,-16943356.052806824
221149668.35275108,219700614.2463038,13182066.672886033,202429993.87075862,219700614.2463038,244421871.331366,247698381.20825186,-26548712.855500787
218601740.10924354,216092402.25082034,15056972.238530401,197242690.0829855,216092402.25082034,243480489.44163737,244819349.69489384,-26217609.585650295
