x_last_hour,x_start_hour,predicted,target,error_rates
107.0,46.000008,107.27879,107.0,0.26055452
103.0,54.0,103.27879,127.0,18.678116
148.0,181.0,150.67682,138.0,9.186101
156.0,183.0,156.82085,175.0,10.388087
175.0,227.0,175.2788,237.0,26.042704
154.0,110.0,154.2788,119.0,29.646046
71.0,19.0,71.2788,88.0,19.001364
87.0,30.0,88.72003,128.0,30.687475
144.0,233.0,144.24847,90.0,60.276085
159.0,164.0,159.2788,170.0,6.3065925
74.0,30.0,74.27879,71.0,4.618019
27.0,32.000008,27.278801,30.0,9.070663
32.000008,70.0,32.2788,39.000008,17.23386
136.0,185.0,136.2788,163.0,16.39338
159.0,188.0,159.26108,194.0,17.906662
196.0,190.0,196.26518,213.0,7.8567224
41.0,71.0,41.2788,47.0,12.172764
75.0,126.0,75.27879,62.0,21.41741
80.0,191.0,80.27879,97.0,17.238358
47.0,59.000008,47.278793,41.0,15.314131
182.0,143.0,182.2629,204.0,10.655444
140.0,116.0,140.2788,109.0,28.69614
188.0,167.0,188.26407,203.0,7.25908
229.0,206.0,229.27878,192.0,19.416029
55.0,75.0,55.24518,51.0,8.323879
190.0,204.0,190.25624,236.0,19.38295
178.0,120.0,179.27692,171.0,4.840302
170.0,235.0,170.23782,190.0,10.401145
34.0,70.0,34.2788,38.000008,9.792647
127.0,89.0,127.27879,112.0,13.641779
89.0,167.0,89.27879,91.0,1.8914359
205.0,218.0,205.27878,220.0,6.691465
143.0,239.0,143.2788,152.0,5.737636
97.0,83.0,97.27879,80.0,21.598492
186.0,197.0,186.27106,175.0,6.4406037
140.0,122.0,140.27821,132.0,6.271374
200.0,172.0,200.2637,116.0,72.64112
