hostname,timestamp,rps,sample_index,elapsed_s,dt_s,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w,input_size
intel-worker1,19/12/2025 03:20,20,8,9.018296,1.001721,97.87771205,113.6826787,211.5603907,563135
intel-worker1,19/12/2025 03:20,20,9,10.020374,1.002078,107.5953488,123.7905343,231.3858831,563135
intel-worker1,19/12/2025 03:20,20,10,11.022028,1.001654,115.4137725,115.4030493,230.8168218,563135
intel-worker1,19/12/2025 03:20,20,11,12.024074,1.002046,117.9442514,110.8989292,228.8431806,563135
intel-worker1,19/12/2025 03:20,20,12,13.026177,1.002103,108.4619588,115.3674603,223.8294192,563135
intel-worker1,19/12/2025 03:20,20,13,14.028326,1.002148,111.7111309,111.9968321,223.7079631,563135
intel-worker1,19/12/2025 03:20,20,14,15.030387,1.002061,103.0815581,117.9816525,221.0632106,563135
intel-worker1,19/12/2025 03:20,20,15,16.032214,1.001827,93.32498311,112.9790271,206.3040102,563135
intel-worker1,19/12/2025 03:20,20,16,17.034279,1.002065,100.002679,114.6578085,214.6604874,563135
intel-worker1,19/12/2025 03:20,20,17,18.036256,1.001977,105.3082979,124.6431888,229.9514867,563135
intel-worker1,19/12/2025 03:21,20,18,19.0381,1.001844,99.91581113,113.3614455,213.2772567,563135
intel-worker1,19/12/2025 03:21,20,19,20.040146,1.002046,101.6102302,105.7170493,207.3272795,563135
intel-worker1,19/12/2025 03:21,20,20,21.041644,1.001498,114.4044682,115.6527796,230.0572478,563135
intel-worker1,19/12/2025 03:21,20,21,22.043108,1.001465,110.1805709,119.1589132,229.3394842,563135
intel-worker1,19/12/2025 03:21,20,22,23.04458,1.001472,109.6525547,116.5960502,226.2486049,563135
intel-worker1,19/12/2025 03:21,20,23,24.046068,1.001488,111.4587712,116.5128841,227.9716553,563135
intel-worker1,19/12/2025 03:21,20,24,25.048144,1.002076,113.827222,102.9515094,216.7787314,563135
intel-worker1,19/12/2025 03:21,20,25,26.050156,1.002012,106.9328905,114.4605717,221.3934622,563135
intel-worker1,19/12/2025 03:21,20,26,27.052187,1.002031,107.0588655,112.8794849,219.9383504,563135
intel-worker1,19/12/2025 03:21,20,27,28.053641,1.001454,107.2637234,133.4158886,240.679612,563135
intel-worker1,19/12/2025 03:21,20,28,29.055119,1.001478,106.1861229,107.6121715,213.7982944,563135
intel-worker1,19/12/2025 03:21,20,29,30.057103,1.001984,107.0946704,112.2037833,219.2984537,563135
intel-worker1,19/12/2025 03:21,20,30,31.059139,1.002035,117.3620477,114.0552475,231.4172952,563135
intel-worker1,19/12/2025 03:21,20,31,32.060593,1.001455,100.8408886,109.1126476,209.9535363,563135
intel-worker1,19/12/2025 03:21,20,32,33.061661,1.001068,97.74065003,106.8071172,204.5477672,563135
intel-worker1,19/12/2025 03:21,20,33,34.06374,1.002079,99.35487859,117.4458918,216.8007704,563135
intel-worker1,19/12/2025 03:21,20,34,35.065808,1.002068,110.1941947,115.1811215,225.3753162,563135
intel-worker1,19/12/2025 03:21,20,35,36.067274,1.001466,100.1079014,108.5415583,208.6494597,563135
intel-worker1,19/12/2025 03:21,20,36,37.069246,1.001972,102.3697435,117.1116885,219.4814321,563135
intel-worker1,19/12/2025 03:21,20,37,38.071345,1.002099,104.8262308,110.3858373,215.2120682,563135
intel-worker1,19/12/2025 03:21,20,38,39.072831,1.001486,103.7491812,120.1770583,223.9262395,563135
intel-worker1,19/12/2025 03:21,20,39,40.074947,1.002116,104.1758817,114.2401297,218.4160113,563135
intel-worker1,19/12/2025 03:21,20,40,41.076408,1.001461,106.8716594,119.559571,226.4312304,563135
intel-worker1,19/12/2025 03:21,20,41,42.077866,1.001458,110.9154286,108.308273,219.2237015,563135
intel-worker1,19/12/2025 03:21,20,42,43.079425,1.001559,110.0232491,111.3359582,221.3592073,563135
intel-worker1,19/12/2025 03:21,20,43,44.081367,1.001942,108.6671863,114.9926527,223.659839,563135
intel-worker1,19/12/2025 03:21,20,44,45.083109,1.001742,93.48840385,121.6592315,215.1476353,563135
intel-worker1,19/12/2025 03:21,20,45,46.084985,1.001876,104.9686797,118.2916795,223.2603592,563135
intel-worker1,19/12/2025 03:21,20,46,47.086443,1.001458,111.3041853,116.6372135,227.9413988,563135
intel-worker1,19/12/2025 03:21,20,47,48.088085,1.001642,99.78099652,111.28308,211.0640765,563135
intel-worker1,19/12/2025 03:21,20,48,49.089549,1.001464,104.4826809,109.0134503,213.4961312,563135
intel-worker1,19/12/2025 03:21,20,49,50.091003,1.001455,104.8895795,122.2911633,227.1807428,563135
intel-worker1,19/12/2025 03:21,20,50,51.092438,1.001435,111.1018682,116.8779301,227.9797983,563135
intel-worker1,19/12/2025 03:21,20,51,52.093927,1.001489,107.2701583,122.5001244,229.7702827,563135
intel-worker1,19/12/2025 03:21,20,52,53.096081,1.002154,114.7674371,117.9928422,232.7602793,563135
intel-worker1,19/12/2025 03:21,20,53,54.098111,1.002029,108.4677665,111.9864955,220.4542619,563135
intel-worker1,19/12/2025 03:21,20,54,55.099585,1.001474,108.6273957,117.5613489,226.1887446,563135
intel-worker1,19/12/2025 03:21,20,55,56.101645,1.00206,98.33317546,113.2305463,211.5637217,563135
intel-worker1,19/12/2025 03:21,20,56,57.10313,1.001485,104.4734474,122.8503491,227.3237965,563135
intel-worker1,19/12/2025 03:21,20,57,58.105297,1.002167,102.1134572,115.4100455,217.5235027,563135
intel-worker1,19/12/2025 03:21,20,58,59.107426,1.00213,104.2684097,128.71939,232.9877997,563135
intel-worker1,19/12/2025 03:21,20,59,60.109511,1.002084,100.9433173,118.0285702,218.9718875,563135
,,,,,,,,,
intel-manager,19/12/2025 03:58,30,0,1.004542,1.004542,112.5716756,137.3168273,249.8885029,563135
intel-manager,19/12/2025 03:58,30,1,2.006063,1.001521,119.752261,149.8517172,269.6039783,563135
intel-manager,19/12/2025 03:58,30,2,3.007536,1.001472,121.5530055,147.5006323,269.0536377,563135
intel-manager,19/12/2025 03:58,30,3,4.008981,1.001446,124.2235539,134.9391771,259.162731,563135
intel-manager,19/12/2025 03:58,30,4,5.010644,1.001662,104.1650603,138.6602364,242.8252967,563135
intel-manager,19/12/2025 03:58,30,5,6.011539,1.000896,109.1167629,135.7185986,244.8353615,563135
intel-manager,19/12/2025 03:58,30,6,7.012977,1.001437,120.6651396,138.432223,259.0973626,563135
intel-manager,19/12/2025 03:58,30,7,8.014595,1.001618,118.4828067,136.2373005,254.7201072,563135
intel-manager,19/12/2025 03:58,30,8,9.016579,1.001985,112.7332292,137.1591118,249.892341,563135
intel-manager,19/12/2025 03:58,30,9,10.017995,1.001416,123.4169999,129.7773634,253.1943633,563135
intel-manager,19/12/2025 03:58,30,10,11.019953,1.001957,114.3515564,147.6846616,262.036218,563135
intel-manager,19/12/2025 03:58,30,11,12.021891,1.001938,115.1938388,139.1481392,254.341978,563135
intel-manager,19/12/2025 03:58,30,12,13.023291,1.0014,114.2135887,143.6205851,257.8341737,563135
intel-manager,19/12/2025 03:58,30,13,14.024743,1.001452,111.8752985,143.7180818,255.5933803,563135
intel-manager,19/12/2025 03:58,30,14,15.026263,1.00152,120.1868621,135.0867809,255.273643,563135
intel-manager,19/12/2025 03:58,30,15,16.02765,1.001387,114.0208685,140.4536181,254.4744865,563135
